run_id,config_name,dataset,model,seq_len,embed_dim,hidden_dim,dropout,lr,num_heads,num_layers,epochs,batch_size,seed,device,train_windows,val_windows,test_windows,train_anomalies,val_anomalies,test_anomalies,vocab_size,runtime_seconds,loss,next_event_accuracy,precision,recall,f1,auc,threshold
1,short_context_small_model,openstack,lstm,5,32,64,0.1,0.001,4,1,3,128,42,mps,29836,9419,1959,0,40,40,26,2.887746374995914,0.0508866943418979,0.9892802450229708,0.0198265179677819,0.4,0.037780401416765,0.4988275143303805,0.0047324793413281
1,short_context_small_model,openstack,rnn,5,32,64,0.1,0.001,4,1,3,128,42,mps,29836,9419,1959,0,40,40,26,3.766216917007114,0.0580172762274742,0.987748851454824,0.0189873417721519,0.15,0.0337078651685393,0.495479416362689,0.0337785482406616
1,short_context_small_model,openstack,transformer,5,32,64,0.1,0.001,4,1,3,128,42,mps,29836,9419,1959,0,40,40,26,4.420464791008271,0.0550357177853584,0.9887697805002552,0.0170316301703163,0.175,0.0310421286031042,0.4849270453361126,0.0042653777636587
2,medium_context_small_model,openstack,rnn,10,32,64,0.1,0.001,4,1,3,128,42,mps,22357,7056,1467,0,30,30,26,2.8467759159975685,0.071698360145092,0.985685071574642,0.0220492866407263,0.5666666666666667,0.0424469413233458,0.5493620969612619,0.0058284089900553
2,medium_context_small_model,openstack,transformer,10,32,64,0.1,0.001,4,1,3,128,42,mps,22357,7056,1467,0,30,30,26,3.562002500009839,0.0661902949213981,0.9863667348329924,0.0190735694822888,0.4666666666666667,0.0366492146596858,0.5232428670842032,0.0061502484604716
2,medium_context_small_model,openstack,lstm,10,32,64,0.1,0.001,4,1,3,128,42,mps,22357,7056,1467,0,30,30,26,1.9432867080031428,0.0718989968299865,0.9863667348329924,0.0181347150259067,0.4666666666666667,0.0349127182044887,0.5026212015773602,0.0071654482744634
3,long_context_small_model,openstack,lstm,15,32,64,0.1,0.001,4,1,3,128,42,mps,14881,4695,974,0,20,20,26,1.6102724580123322,0.1024558395147323,0.9784394250513349,0.0174216027874564,0.25,0.0325732899022801,0.482416142557652,0.0322289653122425
3,long_context_small_model,openstack,rnn,15,32,64,0.1,0.001,4,1,3,128,42,mps,14881,4695,974,0,20,20,26,2.31792633299483,0.1027621924877166,0.9753593429158112,0.0157480314960629,0.3,0.0299251870324189,0.4578878406708595,0.0167506393045187
3,long_context_small_model,openstack,transformer,15,32,64,0.1,0.001,4,1,3,128,42,mps,14881,4695,974,0,20,20,26,2.1565942080051173,0.0983732119202613,0.9774127310061602,0.0151898734177215,0.3,0.0289156626506024,0.4465670859538785,0.0146089168265461
4,medium_context_larger_model,openstack,rnn,10,64,128,0.1,0.001,4,1,3,128,42,mps,22357,7056,1467,0,30,30,26,2.7445622920058668,0.0654282718896865,0.985685071574642,0.0221932114882506,0.5666666666666667,0.0427135678391959,0.5257712827650197,0.0016067225951701
4,medium_context_larger_model,openstack,lstm,10,64,128,0.1,0.001,4,1,3,128,42,mps,22357,7056,1467,0,30,30,26,2.047544332992402,0.0621119737625122,0.9863667348329924,0.0219941348973607,0.5,0.0421348314606741,0.558083971236372,0.0025471169501543
